Name,C,A,P,AP
AIP2,216.7,260.3,205.7,169.3
ARI2,105,94.7,34,19.3
ATG3,423,416.3,274.7,308
ATG7,569.3,472,317.7,454.3
ATL-1,235,502.3,942,729
ATL-2,77.7,193.3,103,70.3
ATL-3,57,100,146.3,161.7
ATL-4,85.7,229.3,381.7,372.7
ATL-5,13.7,25,69.7,52
ATL-6,56.3,72,8,4
ATL-7,459,409,73.3,104.7
ATL2,93,191,265.7,135.3
ATL3,223.3,199.7,17.7,21.7
ATL31,637.7,1189,1162.3,1327.3
ATL32,69,161.3,66,30.7
ATL4,264.7,369.7,259,219
ATL43,195.3,214.3,27.7,27
ATL44,71.7,55.3,14,10.7
ATL5,85.3,190,107,63
ATL52,74,121,101.3,107
ATL54,186.3,212,252.3,169.3
ATL57,248.3,664.3,674.3,507
ATL6-1,21.7,15.7,21.7,16
ATL6-2,185,700,1104.3,867
ATL6-3,28.7,44.7,37.7,28.7
ATL60,34,225.3,539,511.3
ATL66,477,713,618,541.3
ATL74,425,501,57,67.3
ATL8,306.3,284,61.3,84
ATL9,3,10.7,42.3,31
BB,39.7,34,7,7.7
BRIZ1,65,120.7,200.7,114
ELC,10,22.7,46.7,33.7
ELCL,101,105.7,30,18.7
HvPUB02,525,1384.3,923.3,824.3
HvPUB03,253,314,171.3,196.7
HvPUB06,66.7,185,130.3,95
HvPUB07,322.3,367.3,354.3,264.3
HvPUB16,15,50.3,2,4
HvPUB18,141.3,177.7,125,118
HvPUB21,15.3,48.3,37,65.3
HvPUB23,426.7,618.3,544.7,444
HvPUB24,277.7,450,1777.7,1912.7
HvPUB27,10,12,83.7,62.7
HvPUB28,710.3,1254.3,814.7,727.3
HvPUB29,7,13.3,90,33.3
HvPUB36,13,44,51,33.3
HvPUB37,236.3,259.7,416,403.7
HvPUB40,5.3,5.7,105.7,68
HvPUB48,222.3,229,58.7,37
HvPUB50,181.3,132.3,31.7,46.7
HvPUB55,69,138.3,933.7,642.7
HvPUB56,88.7,111,68.3,125.7
HvPUB68,171,265.7,56.3,33.3
HvPUB69,27.7,31.7,25.3,21
HvPUB70,52.3,139.7,172,95.7
HvPUB71,400,456.7,435,341.3
HvPUB72,154.7,217.3,166.7,116.3
HvPUB73,10.3,44.7,60.3,42.7
HvPUB74,5.7,20.7,135.7,115.3
MBR2,225,456.3,1028.7,745.7
MPSR1,266,342.7,254.3,207.3
MUF9,180,1043.3,1725.7,1527.3
RBR-1,284,377,339.3,285.7
RBR-2,93.3,126,28,21.7
RDUF2,893.7,1063.3,690,1147.7
RGLG1,122.3,76.7,18,19.7
RGLG2,389,741.7,1316,945
RHA1B,227.7,212.7,46,42.3
RHC1A,130.7,111.7,28,19
RHC2A,311.3,423.7,299.3,258.7
RHF2A,291.7,326.3,297.7,217.3
RMA,474.3,552.7,97.3,94.3
RMA3,72.3,280,72,108
UBA1,892.7,961.7,1075.3,734.7
UBC26,28.7,28,32.7,24.3
UBC28,3509.7,5252,4357.7,3389.7